League Name,Season ID,Season Year
Scotland League Two,242,20162017
Scotland League Two,243,20152016
Scotland League Two,244,20142015
Scotland League Two,245,20132014
Scotland League Two,1603,20182019
Scotland League Two,2373,20192020
Scotland League Two,4207,20122013
Scotland League Two,4215,20112012
Scotland League Two,4220,20102011
Scotland League Two,4223,20092010
Scotland League Two,4903,20202021
Scotland League Two,5974,20212022
Scotland League Two,7506,20222023
Scotland League Two,9638,20232024
Scotland League Two,12453,20242025
Poland Ekstraklasa,255,20172018
Poland Ekstraklasa,256,20152016
Poland Ekstraklasa,257,20132014
Poland Ekstraklasa,278,20162017
Poland Ekstraklasa,279,20142015
Poland Ekstraklasa,1589,20182019
Poland Ekstraklasa,2328,20192020
Poland Ekstraklasa,3972,20092010
Poland Ekstraklasa,3973,20122013
Poland Ekstraklasa,3974,20102011
Poland Ekstraklasa,3975,20112012
Poland Ekstraklasa,4760,20202021
Poland Ekstraklasa,5948,20212022
Poland Ekstraklasa,7428,20222023
Poland Ekstraklasa,9553,20232024
Poland Ekstraklasa,12120,20242025
Lithuania A Lyga,258,2017
Lithuania A Lyga,259,2016
Lithuania A Lyga,260,2015
Lithuania A Lyga,261,2014
Lithuania A Lyga,1149,2018
Lithuania A Lyga,1928,2019
Lithuania A Lyga,3825,2020
Lithuania A Lyga,5625,2021
Lithuania A Lyga,7133,2022
Lithuania A Lyga,8960,2023
Lithuania A Lyga,11246,2024
Lithuania 1 Lyga,262,2017
Lithuania 1 Lyga,263,2016
Lithuania 1 Lyga,264,2015
Lithuania 1 Lyga,265,2014
Lithuania 1 Lyga,266,2013
Lithuania 1 Lyga,1150,2018
Lithuania 1 Lyga,1935,2019
Lithuania 1 Lyga,4452,2020
Lithuania 1 Lyga,5758,2021
Lithuania 1 Lyga,7294,2022
Lithuania 1 Lyga,9069,2023
Lithuania 1 Lyga,11320,2024
South Africa Premier Soccer League,267,20172018
South Africa Premier Soccer League,268,20162017
South Africa Premier Soccer League,269,20152016
South Africa Premier Soccer League,280,20142015
South Africa Premier Soccer League,281,20132014
South Africa Premier Soccer League,1684,20182019
South Africa Premier Soccer League,2327,20192020
South Africa Premier Soccer League,5225,20202021
South Africa Premier Soccer League,6311,20212022
South Africa Premier Soccer League,7851,20222023
South Africa Premier Soccer League,9814,20232024
South Africa Premier Soccer League,13284,20242025
Algeria Ligue 1,270,20172018
Algeria Ligue 1,271,20162017
Algeria Ligue 1,272,20152016
